phase,epoch,loss,train_accuracy,test_accuracy,weight_norm,mean_retention,mechanism,seed
supervised,1,1.6329720343705894,0.7498144023756496,0.7333333333333333,9.171859481867296,0.5026717517333275,baseline,7
supervised,2,0.7805227033707479,0.8596881959910914,0.8288888888888889,9.363538690228358,0.5594547075303724,baseline,7
supervised,3,0.5328980568242604,0.896807720861173,0.8866666666666667,9.524215424863435,0.5693700959594727,baseline,7
supervised,4,0.38299297919318126,0.9294729027468448,0.9155555555555556,9.650082740140752,0.5697473054472875,baseline,7
supervised,5,0.3048438102118302,0.9354120267260579,0.9311111111111111,9.761354734396233,0.5679300926779267,baseline,7
supervised,6,0.25424284339564807,0.947290274684484,0.9311111111111111,9.857576891383841,0.5728789389620739,baseline,7
supervised,7,0.23521362976070434,0.9539717891610987,0.9444444444444444,9.938677147766867,0.5686157694683264,baseline,7
supervised,8,0.19493340380890595,0.96362286562732,0.9466666666666667,10.017390445073305,0.5726768996726743,baseline,7
supervised,9,0.18496606636756116,0.9658500371195249,0.94,10.090267866890958,0.5605847333570159,baseline,7
supervised,10,0.16223454270594495,0.9717891610987379,0.9533333333333334,10.15415075483614,0.5692741040055727,baseline,7
supervised,11,0.15388643137015767,0.9732739420935412,0.96,10.217283485705442,0.5973755491279163,baseline,7
supervised,12,0.14095960127811988,0.9740163325909429,0.9644444444444444,10.275346777772695,0.5723662675326971,baseline,7
supervised,13,0.12362495440668737,0.9784706755753526,0.9644444444444444,10.327593560487562,0.563227816212126,baseline,7
supervised,14,0.11366272813917276,0.9806978470675576,0.9622222222222222,10.3759681724946,0.5750007122717947,baseline,7
supervised,15,0.10710654766220991,0.9821826280623608,0.9622222222222222,10.422929412389715,0.5785530883393875,baseline,7
supervised,16,0.10345891394912762,0.9836674090571641,0.96,10.470416665064592,0.5692578709063645,baseline,7
supervised,17,0.09485217081756958,0.9851521900519673,0.96,10.512470328298168,0.5624295302165674,baseline,7
supervised,18,0.08949288981475984,0.985894580549369,0.96,10.55387480730633,0.5818078975371053,baseline,7
supervised,19,0.08923739075265472,0.9851521900519673,0.96,10.59705619036361,0.5754543836115961,baseline,7
supervised,20,0.08046926737240066,0.9873793615441723,0.96,10.634382061345665,0.5673658617222579,baseline,7
supervised,21,0.07531638789985048,0.9896065330363771,0.9644444444444444,10.670685324952759,0.5672164224338825,baseline,7
supervised,22,0.07359789047078696,0.9903489235337788,0.9622222222222222,10.707814628099607,0.590126761030808,baseline,7
supervised,23,0.06934987232214881,0.9903489235337788,0.96,10.743519980656709,0.5844804081054248,baseline,7
