dataset,mechanism,seed,final_train_accuracy,final_test_accuracy,generalization_gap,retained_accuracy,retention_loss,task_a_before,task_a_after,task_b_after,catastrophic_forgetting,adaptation_epoch,runtime_seconds
sklearn-digits-8x8,baseline,7,0.9903489235337788,0.9644444444444444,0.025904479089334354,0.9644444444444444,0.0,0.9823008849557522,0.2610619469026549,0.9776785714285714,0.7212389380530972,2,0.1438610330000074
sklearn-digits-8x8,baseline,21,0.991833704528582,0.9466666666666667,0.04516703786191534,0.9466666666666667,0.0,0.9823008849557522,0.37610619469026546,0.9732142857142857,0.6061946902654867,2,0.16708376899998711
sklearn-digits-8x8,baseline,42,0.9925760950259837,0.96,0.03257609502598369,0.96,0.0,0.9823008849557522,0.19469026548672566,0.9732142857142857,0.7876106194690266,2,0.15280605000009473
sklearn-digits-8x8,baseline,84,0.9888641425389755,0.9688888888888889,0.019975253650086566,0.9688888888888889,0.0,0.9778761061946902,0.40707964601769914,0.96875,0.570796460176991,2,0.15344729800006007
sklearn-digits-8x8,baseline,101,0.9851521900519673,0.9688888888888889,0.016263301163078392,0.9688888888888889,0.0,0.9911504424778761,0.20353982300884957,0.9776785714285714,0.7876106194690266,2,0.14729208300002483
sklearn-digits-8x8,passive,7,0.96362286562732,0.9622222222222222,0.0014006434050978234,0.9488888888888889,0.013333333333333308,0.9823008849557522,0.0,0.9642857142857143,0.9823008849557522,3,0.152548579999916
sklearn-digits-8x8,passive,21,0.9703043801039347,0.9422222222222222,0.028082157881712533,0.9377777777777778,0.004444444444444362,0.9823008849557522,0.0,0.9598214285714286,0.9823008849557522,2,0.1631808810000166
sklearn-digits-8x8,passive,42,0.9665924276169265,0.9422222222222222,0.02437020539470436,0.9466666666666667,-0.004444444444444473,0.9823008849557522,0.0,0.9732142857142857,0.9823008849557522,3,0.15287084700003106
sklearn-digits-8x8,passive,84,0.9658500371195249,0.9422222222222222,0.0236278148973027,0.9444444444444444,-0.0022222222222222365,0.9867256637168141,0.0,0.9642857142857143,0.9867256637168141,3,0.151841840999964
sklearn-digits-8x8,passive,101,0.9651076466221232,0.9511111111111111,0.013996535511012098,0.9511111111111111,0.0,0.995575221238938,0.0,0.96875,0.995575221238938,2,0.14719037199995455
sklearn-digits-8x8,reinforced,7,0.9851521900519673,0.96,0.025152190051967338,0.9577777777777777,0.0022222222222222365,0.9823008849557522,0.084070796460177,0.9732142857142857,0.8982300884955752,2,0.12661529900003643
sklearn-digits-8x8,reinforced,21,0.9888641425389755,0.9555555555555556,0.033308586983419874,0.9533333333333334,0.0022222222222222365,0.9823008849557522,0.15486725663716813,0.9776785714285714,0.827433628318584,2,0.15040254999996705
sklearn-digits-8x8,reinforced,42,0.9896065330363771,0.9666666666666667,0.02293986636971046,0.9666666666666667,0.0,0.9823008849557522,0.10176991150442478,0.9776785714285714,0.8805309734513274,2,0.13727182599996013
sklearn-digits-8x8,reinforced,84,0.9851521900519673,0.9622222222222222,0.0229299678297451,0.9622222222222222,0.0,0.9823008849557522,0.19911504424778761,0.9732142857142857,0.7831858407079646,2,0.13126714299994546
sklearn-digits-8x8,reinforced,101,0.9814402375649591,0.9666666666666667,0.014773570898292454,0.9666666666666667,0.0,0.9911504424778761,0.07079646017699115,0.9776785714285714,0.9203539823008849,2,0.12905744800002594
